date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,result_IRM,bib
2024-08-07T15:03:24+02:00,TKWM58KG--------------QFNL000100--,TKWM58KG,Men -58kg,Men -58kg Quarterfinal,Quarterfinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1893274,RAVET Cyrian,Person,FRA,France,1,POINTS,L,,204
2024-08-07T15:03:24+02:00,TKWM58KG--------------QFNL000100--,TKWM58KG,Men -58kg,Men -58kg Quarterfinal,Quarterfinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1904040,PARK Taejoon,Person,KOR,Korea,2,POINTS,W,,205
2024-08-07T15:29:05+02:00,TKWM58KG--------------QFNL000200--,TKWM58KG,Men -58kg,Men -58kg Quarterfinal,Quarterfinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1946334,LEWIS Bailey,Person,AUS,Australia,0,POINTS,L,,208
2024-08-07T15:29:05+02:00,TKWM58KG--------------QFNL000200--,TKWM58KG,Men -58kg,Men -58kg Quarterfinal,Quarterfinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1947736,JENDOUBI Mohamed Khalil,Person,TUN,Tunisia,2,POINTS,W,,201
2024-08-07T15:59:34+02:00,TKWM58KG--------------QFNL000300--,TKWM58KG,Men -58kg,Men -58kg Quarterfinal,Quarterfinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1546697,VICENTE YUNTA Adrian,Person,ESP,Spain,0,POINTS,L,,202
2024-08-07T15:59:34+02:00,TKWM58KG--------------QFNL000300--,TKWM58KG,Men -58kg,Men -58kg Quarterfinal,Quarterfinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1946883,MAGOMEDOV Gashim,Person,AZE,Azerbaijan,2,POINTS,W,,210
2024-08-07T16:18:13+02:00,TKWM58KG--------------QFNL000400--,TKWM58KG,Men -58kg,Men -58kg Quarterfinal,Quarterfinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1572368,SALIM Omar Gergely,Person,HUN,Hungary,0,POINTS,L,,206
2024-08-07T16:18:13+02:00,TKWM58KG--------------QFNL000400--,TKWM58KG,Men -58kg,Men -58kg Quarterfinal,Quarterfinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1929684,DELL AQUILA Vito,Person,ITA,Italy,2,POINTS,W,,203
2024-08-07T16:47:34+02:00,TKWM58KG--------------SFNL000100--,TKWM58KG,Men -58kg,Men -58kg Semifinal,Semifinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1904040,PARK Taejoon,Person,KOR,Korea,2,POINTS,W,,205
2024-08-07T16:47:34+02:00,TKWM58KG--------------SFNL000100--,TKWM58KG,Men -58kg,Men -58kg Semifinal,Semifinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1947736,JENDOUBI Mohamed Khalil,Person,TUN,Tunisia,0,POINTS,L,,201
2024-08-07T17:15:47+02:00,TKWM58KG--------------SFNL000200--,TKWM58KG,Men -58kg,Men -58kg Semifinal,Semifinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1946883,MAGOMEDOV Gashim,Person,AZE,Azerbaijan,2,POINTS,W,,210
2024-08-07T17:15:47+02:00,TKWM58KG--------------SFNL000200--,TKWM58KG,Men -58kg,Men -58kg Semifinal,Semifinal,FINISHED,M,Taekwondo,TKW,Grand Palais,1929684,DELL AQUILA Vito,Person,ITA,Italy,0,POINTS,L,,203
2024-08-07T19:53:19+02:00,TKWM58KG--------------REP1000200--,TKWM58KG,Men -58kg,Men -58kg Repechage,Repechage,FINISHED,M,Taekwondo,TKW,Grand Palais,1893274,RAVET Cyrian,Person,FRA,France,2,POINTS,W,,204
2024-08-07T19:53:19+02:00,TKWM58KG--------------REP1000200--,TKWM58KG,Men -58kg,Men -58kg Repechage,Repechage,FINISHED,M,Taekwondo,TKW,Grand Palais,1925942,GRANADO Yohandri,Person,VEN,Venezuela,0,POINTS,L,,212
